rest_name,locality,cuisines,cost_for_two,rating
Cafe Cosy                                     ,Jayanagar,"['Cafe', 'Chinese', 'Continental', 'Fast Food']",800,4.2
The Spice Bazaar                                     ,"Hotel Southern Star, Lavelle Road","['North Indian', 'Mughlai']","1,000",4.2
Cafe Medley                                     ,Koramangala 5th Block,"['Cafe', 'Continental', 'Burger']",800,4.2
Chai Galli                                     ,Koramangala 5th Block,"['Cafe', 'Tea', 'Street Food']",450,4.3
Patravali Biriyani                                     ,Electronic City,"['Biryani', 'Fast Food']",400,3.4
Bang - The Ritz-Carlton                                     ,The Ritz-Carlton,['Finger Food'],"3,000",4.2
Mudaliar's Kitchen                                     ,Frazer Town,['South Indian'],500,3.6
Hiyar Majhe Kolkata                                     ,BTM,"['Bengali', 'North Indian']",400,3.9
BBQ'D - Global Grill & Brewery                                     ,UB City,"['BBQ', 'North Indian']","1,500",4.3
Barleyz                                     ,Koramangala 6th Block,"['North Indian', 'Continental', 'Chinese']","2,000",3.7
Appana Restaurant                                     ,BTM,['North Indian'],300,3.7
Waffle Stories                                     ,HSR,"['Desserts', 'Beverages']",300,                                         NEW                                     
Midnight Special                                     ,HSR,"['North Indian', 'Fast Food', 'Chinese']",500,                                         NEW                                     
Eat Night                                     ,HSR,"['Chinese', 'Biryani']",300,                                         NEW                                     
Pita Pit                                     ,Whitefield,"['Healthy Food', 'Salad', 'Mexican', 'Beverages']",500,3.9
House Of Seitan                                     ,Indiranagar,"['Healthy Food', 'Burger', 'Beverages', 'Cafe', 'Sandwich', 'Salad']",700,4
Andhra Ghumaghumalu                                     ,Whitefield,"['Andhra', 'Biryani', 'North Indian']",300,3.5
Tea Trails                                     ,HSR,"['Continental', 'Tea', 'Fast Food', 'Italian']",600,4
Kawaii                                     ,HSR,"['Desserts', 'Ice Cream']",500,3.9
Fishing Boat                                     ,Yeshwantpur,"['Kerala', 'South Indian', 'Chinese']",300,4
The Belgian Waffle Co.                                     ,Koramangala 5th Block,"['Desserts', 'Beverages']",350,4.2
Drunkling - Sizzlers and Pub                                     ,Koramangala 5th Block,"['Chinese', 'Continental', 'North Indian', 'Burger', 'Pizza', 'Seafood']","1,000",4.4
Casino Restaurant                                     ,New BEL Road,"['North Indian', 'Chinese']",500,3.9
The Egg Factory                                     ,St. Marks Road,"['Continental', 'American']",750,4.2
Krispy Kreme                                     ,Jayanagar,"['Desserts', 'Beverages']",300,4
Hotel Godavari                                     ,BTM,"['Andhra', 'Chinese', 'North Indian', 'Biryani']",500,3.9
Sagar Fast Food                                     ,Koramangala 8th Block,"['South Indian', 'North Indian', 'Street Food', 'Chinese']",300,4.1
Bean Flickers                                     ,Indiranagar,"['Cafe', 'American', 'Fast Food', 'Coffee', 'Continental']",700,4.3
Khichadiwala                                     ,HSR,['North Indian'],400,3.9
Amoeba Sports Bar                                     ,"Ascendas Park Square, Whitefield","['Continental', 'Chinese']","1,000",3.9
Bunty's Belly                                     ,Kalyan Nagar,"['Cafe', 'Beverages', 'Rolls', 'Sandwich']",300,                                         NEW                                     
Rolls & Bowls                                     ,Brookefield,"['Rolls', 'Chinese']",250,4.5
Cafe Nosh                                     ,Sahakara Nagar,"['Cafe', 'Continental', 'Steak']",500,4.3
Prems Graama Bhojanam                                     ,Jayanagar,['South Indian'],400,4.3
Thai House                                     ,"5th Avenue, Brigade Road",['Thai'],700,4.3
By 2 Coffee                                     ,Vijay Nagar,['South Indian'],100,4.3
Today Coffee                                     ,Electronic City,['South Indian'],150,                                         NEW                                     
SMS: Stop Making Sense                                     ,HSR,"['Chinese', 'Continental', 'North Indian', 'Italian']","1,000",                                         NEW                                     
Eat Self Serve                                     ,Yelahanka,"['North Indian', 'South Indian', 'Fast Food', 'Sandwich']",300,4
Raidan Restaurant                                     ,Kammanahalli,"['Arabian', 'Chinese', 'North Indian']",450,3.9
Sendhoor Coffee                                     ,Indiranagar,"['Coffee', 'South Indian']",200,4
Sagar Hotel                                     ,Rajajinagar,"['North Indian', 'Chinese', 'Street Food', 'Juices']",600,4.3
Starter House                                     ,Whitefield,"['Chinese', 'Continental']",250,3.6
Bubblewrap Waffle Co.                                     ,Jayanagar,"['Desserts', 'Beverages']",400,4.4
JCK Momos                                     ,Hebbal,"['Tibetan', 'Momos']",200,3.9
A2B - Adyar Ananda Bhavan                                     ,BTM,"['South Indian', 'North Indian', 'Chinese', 'Street Food', 'Fast Food']",400,3.8
Le Rock                                     ,Brigade Road,"['Continental', 'Chinese']","2,000",4.1
Bite Me Cupcakes                                     ,Indiranagar,['Desserts'],300,4.2
Jus' Trufs                                     ,Sahakara Nagar,"['Desserts', 'Cafe', 'Pizza', 'Burger']",850,4
Delhi Base Sri Food Court                                     ,Electronic City,"['North Indian', 'South Indian', 'Chinese', 'Street Food']",250,3.9
Roti Ghar                                     ,Basavanagudi,"['North Indian', 'Chinese', 'South Indian']",500,4
Subway                                     ,HSR,"['Healthy Food', 'Sandwich', 'Salad']",500,3.1
Yes Yes Hotel                                     ,KR Puram,"['North Indian', 'Chinese', 'Biryani']",400,3.9
Mughal Treat                                     ,HSR,"['North Indian', 'Chinese', 'Mughlai']",600,4
Sri Pillaiyar Bhavan                                     ,Electronic City,['Chettinad'],300,4
Desi Flavours                                     ,Koramangala 1st Block,"['North Indian', 'Mughlai']",400,3.9
Roll Over                                     ,Kalyan Nagar,"['Ice Cream', 'Beverages', 'Fast Food']",500,4.3
Biryanis And More                                     ,Jayanagar,"['Biryani', 'North Indian', 'Chinese', 'Andhra', 'South Indian']",750,4.1
Red Onion                                     ,Shanti Nagar,"['Chinese', 'North Indian', 'Biryani', 'Kebab']","1,200",4.2
Parika Multicuisine & Coastal Fine Dine                                     ,HSR,"['Mangalorean', 'Seafood', 'North Indian', 'Chinese']","1,000",3.9
The Green Path - Forgotten Food                                     ,Malleshwaram,"['North Indian', 'South Indian']","1,100",4.3
Mikusu - Conrad Bengaluru                                     ,"Conrad Bengaluru, Ulsoor","['Japanese', 'Chinese', 'Thai']","3,000",4.2
Kitchen On Table                                     ,Brigade Road,"['Japanese', 'Sushi', 'Asian']","1,500",4
Cafe Longing                                     ,BTM,"['Cafe', 'Fast Food']",200,                                         NEW                                     
Bonsouth                                     ,Koramangala 5th Block,"['Chettinad', 'Andhra', 'Kerala']","1,300",4.2
Apna Punjab                                     ,BTM,"['North Indian', 'Chinese', 'Fast Food']",450,3.7
Kulfi Story                                     ,Malleshwaram,['Desserts'],100,3.5
Hotel Nalapaka                                     ,Rajajinagar,['South Indian'],400,4.3
Cafe Kaara                                     ,Ulsoor,"['Cafe', 'Salad', 'Desserts', 'Pizza']",750,4.3
Konark Vegetarian Restaurant                                     ,Residency Road,"['North Indian', 'Chinese', 'Continental', 'South Indian', 'Street Food', 'Juices']",500,4.1
Kadak Biryanis & Grill                                     ,Jakkur,['Biryani'],500,3.8
Momos & Me                                     ,Brookefield,['Chinese'],200,3.6
Erivum Puliyum                                     ,Brookefield,"['Kerala', 'South Indian', 'Seafood']",500,3.9
Kadal Da Meen                                     ,HSR,"['North Indian', 'Continental', 'Biryani', 'Seafood']",500,4
Blend with Benefits                                     ,HSR,"['Beverages', 'Juices', 'Sandwich']",400,4.1
Swathi                                     ,Rajajinagar,"['Andhra', 'North Indian', 'Chinese']",700,3.8
Juice Junction Food Court                                     ,HSR,"['Juices', 'South Indian', 'Chinese', 'Fast Food']",200,3.8
Warm Oven                                     ,Domlur,"['Bakery', 'Desserts']",500,4.3
Waffle Talesz                                     ,Sarjapur Road,['Desserts'],200,3.8
Alankrutha                                     ,BTM,"['North Indian', 'Chinese']",550,3.9
Chung Wah                                     ,Koramangala 5th Block,"['Chinese', 'Thai', 'Momos', 'Vietnamese']",800,4
