rest_index,rest_name,locality,cost_for_two,rating,votes,cuisines
7247,N R K Hindustan Family Restaurant,Yelahanka,450,3.1,30,"['North Indian', 'Chinese']"
7248,Paradise Premium,Banashankari,700,3.1,124,"['Biryani', 'Andhra', 'Hyderabadi', 'North Indian']"
7249,Ambur Azad Darbar,BTM,200,3.1,6,['North Indian']
7250,Nellore Bhojanam,Bannerghatta Road,250,3.1,185,['Andhra']
7251,Nirmala Kitchen,Hebbal,200,3.1,7,['North Indian']
7252,Aryan's Kitchen,Whitefield,500,3.1,98,"['North Indian', 'Fast Food']"
7253,New A1 Chicken Biryani Point,Shivajinagar,300,3.1,6,['Biryani']
7254,Punjabi Dhaba,Jakkur,600,3.1,7,['North Indian']
7255,Ashirvad Resturant,Marathahalli,300,3.1,8,"['North Indian', 'Chinese']"
7256,Lemon - The Lounge Bar,Marathahalli,800,3.1,12,"['North Indian', 'Biryani', 'Chinese']"
7257,Combo King Paramount,Jayanagar,500,3.1,12,"['Chinese', 'Kerala']"
7258,Gowdru Donne Biriyani,Yeshwantpur,300,3.1,16,['Biryani']
7259,Royal Restaurant,Shivajinagar,200,3.1,8,"['North Indian', 'Chinese']"
7260,Tulips,Bannerghatta Road,800,3.1,19,"['North Indian', 'South Indian', 'Chinese', 'Continental']"
7261,Naati Manae,"Bangalore Central, JP Nagar",500,3.1,10,"['South Indian', 'Biryani']"
7262,Fresh Dinner,Bannerghatta Road,500,3.1,107,"['North Indian', 'Biryani']"
7263,IC 49,Rajarajeshwari Nagar,300,3.1,11,"['North Indian', 'Chinese']"
7264,Jalsa Adda,Whitefield,400,3.1,8,"['North Indian', 'South Indian', 'Arabian']"
7265,Grab n Go - Aloft Hotel,"Aloft Hotel, Whitefield","1,000",3.1,7,"['American', 'Fast Food']"
7266,Ice Berg,KR Puram,200,3.1,15,"['Fast Food', 'Beverages', 'Juices']"
7267,Zam Zam Restaurant,Banaswadi,400,3.1,7,"['Chinese', 'North Indian']"
7268,Dum Chicken Biryani,Yeshwantpur,300,3.1,9,"['Biryani', 'Kebab']"
7269,Donne Biryani Angadi Mane,Thippasandra,250,3.1,8,"['Biryani', 'South Indian']"
7270,New Quality Dum Biryani,Banashankari,200,3.1,9,['Biryani']
7271,Rajasthani Rasoi,Nagawara,200,3.1,7,"['North Indian', 'Rajasthani']"
